能力評価,性格診断結果,思索型:内閉性,自制型:弱気さ,従順性,ﾓﾗﾄﾘｱﾑ傾向,自己信頼性,努力型:持続性,積極性,協調性,共感性,努力型:規則性
B,－,27.0,45.0,51.0,25.0,30.0,,60.0,34.0,,63.0
A,－,41.0,72.0,51.0,44.0,,50.0,,,41.0,55.0
B,B,74.0,,49.0,27.0,45.0,,60.0,40.0,70.0,54.0
,D,64.0,66.0,42.0,,,50.0,50.0,67.0,35.0,44.0
B,－,82.0,48.0,32.0,47.0,18.0,,49.0,39.0,,63.0
B,S,68.0,65.0,52.0,35.0,36.0,33.0,,16.0,17.0,
A,－,47.0,57.0,59.0,39.0,26.0,21.0,,,36.0,54.0
,S,80.0,47.0,36.0,46.0,33.0,,45.0,45.0,59.0,77.0
B,S,58.0,68.0,38.0,26.0,40.0,35.0,57.0,45.0,10.0,59.0
A,S,27.0,52.0,42.0,41.0,,49.0,,55.0,12.0,36.0
A,B,47.0,,48.0,,27.0,,38.0,32.0,39.0,79.0
A,D,37.0,41.0,46.0,49.0,47.0,42.0,67.0,56.0,33.0,53.0
A,B,33.0,53.0,49.0,49.0,36.0,,,43.0,32.0,49.0
B,S,29.0,71.0,58.0,45.0,29.0,64.0,62.0,46.0,22.0,57.0
B,C,,50.0,51.0,,,56.0,17.0,63.0,10.0,
B,－,27.0,,28.0,,54.0,,59.0,58.0,47.0,54.0
B,D,,45.0,48.0,48.0,39.0,40.0,46.0,71.0,,44.0
A,S,58.0,,45.0,38.0,32.0,27.0,70.0,67.0,32.0,54.0
A,S,51.0,42.0,59.0,49.0,,44.0,38.0,,,43.0
C,D,60.0,,38.0,,11.0,29.0,,18.0,64.0,50.0
B,－,27.0,,45.0,,51.0,53.0,37.0,,21.0,
C,－,74.0,73.0,43.0,27.0,47.0,,66.0,43.0,60.0,38.0
,A,65.0,36.0,39.0,58.0,41.0,46.0,31.0,68.0,50.0,55.0
B,S,42.0,71.0,52.0,37.0,45.0,54.0,56.0,35.0,65.0,
B,B,73.0,50.0,46.0,29.0,19.0,54.0,23.0,,45.0,73.0
C,－,41.0,58.0,24.0,44.0,,56.0,30.0,51.0,10.0,47.0
B,－,,57.0,22.0,,44.0,,61.0,,,34.0
B,－,56.0,91.0,57.0,42.0,39.0,47.0,63.0,66.0,35.0,38.0
B,S,,50.0,45.0,29.0,,33.0,24.0,,30.0,79.0
,－,,30.0,52.0,36.0,,36.0,40.0,44.0,14.0,58.0
B,B,27.0,,42.0,30.0,38.0,43.0,39.0,55.0,33.0,56.0
B,C,44.0,,22.0,,44.0,46.0,23.0,,10.0,43.0
,B,,49.0,48.0,50.0,,,41.0,,31.0,44.0
,B,,,55.0,50.0,31.0,51.0,62.0,,30.0,58.0
B,D,49.0,72.0,,29.0,35.0,22.0,39.0,25.0,,79.0
,S,44.0,52.0,,32.0,38.0,41.0,65.0,30.0,,47.0
A,S,73.0,56.0,32.0,56.0,47.0,49.0,29.0,44.0,17.0,35.0
,B,52.0,,58.0,44.0,28.0,41.0,62.0,,41.0,55.0
A,B,59.0,53.0,47.0,49.0,32.0,46.0,,27.0,40.0,
A,B,,61.0,22.0,43.0,31.0,78.0,,20.0,43.0,52.0
B,B,,77.0,23.0,43.0,,57.0,57.0,21.0,,49.0
B,D,57.0,29.0,40.0,49.0,,19.0,60.0,49.0,42.0,52.0
A,S,44.0,,51.0,53.0,,51.0,67.0,35.0,22.0,67.0
A,S,,96.0,,46.0,51.0,35.0,42.0,45.0,32.0,
,S,42.0,47.0,54.0,50.0,28.0,26.0,43.0,46.0,17.0,60.0
B,C,66.0,,22.0,,,45.0,71.0,63.0,19.0,51.0
,S,75.0,51.0,,55.0,37.0,61.0,28.0,37.0,27.0,
A,A,71.0,55.0,46.0,36.0,35.0,38.0,50.0,66.0,43.0,58.0
,A,32.0,53.0,,30.0,45.0,36.0,45.0,68.0,18.0,61.0
B,A,39.0,51.0,56.0,47.0,27.0,22.0,,24.0,33.0,57.0
A,A,38.0,65.0,35.0,44.0,32.0,53.0,28.0,8.0,11.0,
,D,59.0,,43.0,,47.0,53.0,49.0,74.0,36.0,
A,D,27.0,43.0,61.0,46.0,,31.0,,68.0,48.0,51.0
,D,56.0,77.0,22.0,70.0,12.0,32.0,48.0,56.0,,56.0
C,S,76.0,39.0,46.0,34.0,11.0,65.0,36.0,,26.0,71.0
B,A,60.0,30.0,22.0,39.0,48.0,39.0,58.0,,,49.0
B,－,48.0,45.0,42.0,45.0,36.0,22.0,64.0,34.0,42.0,65.0
,S,27.0,34.0,,60.0,,61.0,58.0,21.0,32.0,46.0
B,C,72.0,48.0,52.0,,,35.0,74.0,48.0,23.0,39.0
A,D,,60.0,31.0,47.0,40.0,55.0,,70.0,25.0,60.0
,－,44.0,44.0,53.0,,31.0,21.0,74.0,32.0,28.0,
B,C,27.0,47.0,62.0,,28.0,62.0,50.0,34.0,,79.0
,A,86.0,41.0,,77.0,42.0,,73.0,26.0,,40.0
C,－,65.0,55.0,58.0,42.0,47.0,21.0,42.0,63.0,28.0,
B,S,52.0,,51.0,45.0,11.0,44.0,,,,56.0
A,－,44.0,72.0,49.0,40.0,39.0,40.0,38.0,63.0,28.0,55.0
B,－,27.0,52.0,41.0,35.0,54.0,39.0,,68.0,44.0,61.0
B,－,44.0,57.0,48.0,38.0,44.0,26.0,45.0,38.0,17.0,31.0
B,C,52.0,52.0,55.0,41.0,28.0,54.0,,47.0,43.0,56.0
B,C,50.0,,,,40.0,,30.0,66.0,25.0,58.0
,D,57.0,59.0,50.0,46.0,37.0,40.0,68.0,,44.0,
A,－,40.0,51.0,53.0,87.0,50.0,51.0,68.0,17.0,,48.0
A,B,,58.0,22.0,48.0,51.0,,74.0,,22.0,55.0
B,D,53.0,33.0,,49.0,37.0,23.0,46.0,43.0,20.0,48.0
A,C,,,59.0,49.0,34.0,,,,48.0,
C,－,64.0,,,76.0,80.0,62.0,50.0,74.0,,47.0
B,－,,,59.0,,33.0,35.0,55.0,33.0,57.0,41.0
B,D,,,43.0,46.0,34.0,32.0,52.0,27.0,20.0,54.0
B,－,46.0,79.0,36.0,49.0,22.0,16.0,72.0,7.0,11.0,
B,D,66.0,76.0,35.0,52.0,37.0,50.0,66.0,32.0,39.0,47.0
B,D,,53.0,,43.0,53.0,,18.0,32.0,26.0,51.0
C,S,27.0,44.0,,,44.0,22.0,42.0,54.0,44.0,42.0
,－,,,37.0,58.0,,18.0,60.0,44.0,32.0,46.0
B,A,49.0,31.0,34.0,50.0,34.0,,,42.0,31.0,
B,A,75.0,50.0,22.0,37.0,42.0,44.0,38.0,56.0,,
,A,,52.0,44.0,41.0,30.0,31.0,43.0,47.0,17.0,
A,S,50.0,72.0,35.0,44.0,30.0,43.0,,23.0,36.0,56.0
A,－,47.0,32.0,58.0,48.0,,25.0,42.0,,40.0,50.0
A,B,,45.0,,34.0,54.0,22.0,50.0,18.0,20.0,
B,D,36.0,,,48.0,39.0,41.0,64.0,,26.0,59.0
B,A,,,45.0,,31.0,27.0,50.0,69.0,,48.0
B,D,46.0,51.0,52.0,42.0,36.0,36.0,43.0,66.0,37.0,71.0
A,S,,41.0,63.0,40.0,38.0,41.0,60.0,43.0,11.0,44.0
B,A,48.0,56.0,51.0,61.0,47.0,37.0,61.0,69.0,35.0,52.0
B,B,36.0,40.0,35.0,56.0,48.0,15.0,47.0,33.0,29.0,43.0
B,D,33.0,60.0,,29.0,,33.0,53.0,33.0,10.0,39.0
C,－,40.0,31.0,41.0,54.0,21.0,18.0,64.0,54.0,19.0,79.0
B,－,,65.0,22.0,55.0,26.0,23.0,49.0,50.0,,
B,D,67.0,54.0,47.0,26.0,45.0,44.0,38.0,60.0,,
B,S,40.0,59.0,29.0,,34.0,24.0,62.0,59.0,21.0,47.0
B,S,,61.0,28.0,51.0,43.0,,30.0,36.0,48.0,36.0
C,B,,71.0,32.0,32.0,21.0,33.0,56.0,50.0,23.0,56.0
B,D,,58.0,32.0,49.0,44.0,14.0,46.0,,10.0,34.0
B,C,39.0,71.0,53.0,50.0,,54.0,,70.0,45.0,45.0
A,－,73.0,,22.0,46.0,31.0,31.0,24.0,,,43.0
A,S,45.0,54.0,22.0,53.0,31.0,19.0,23.0,,26.0,
B,A,,,35.0,48.0,71.0,58.0,43.0,66.0,,
B,B,,,35.0,41.0,26.0,26.0,46.0,,,50.0
B,A,50.0,44.0,51.0,50.0,29.0,30.0,43.0,,14.0,69.0
B,D,28.0,60.0,46.0,,42.0,21.0,40.0,44.0,42.0,55.0
B,B,53.0,86.0,65.0,45.0,41.0,68.0,70.0,40.0,57.0,41.0
,－,49.0,40.0,55.0,30.0,32.0,30.0,74.0,58.0,27.0,
A,S,60.0,69.0,28.0,47.0,41.0,42.0,67.0,,51.0,57.0
B,B,69.0,54.0,48.0,46.0,38.0,46.0,16.0,35.0,23.0,45.0
B,B,36.0,28.0,58.0,43.0,37.0,,54.0,66.0,28.0,54.0
B,D,33.0,64.0,55.0,44.0,,22.0,54.0,44.0,29.0,52.0
A,S,66.0,53.0,41.0,47.0,38.0,34.0,,,18.0,46.0
,S,36.0,43.0,,,39.0,37.0,,,30.0,
B,A,56.0,53.0,54.0,,,20.0,,35.0,46.0,29.0
,D,40.0,,43.0,38.0,29.0,61.0,,42.0,36.0,56.0
,－,,,22.0,52.0,28.0,30.0,45.0,64.0,23.0,66.0
C,S,37.0,54.0,22.0,37.0,,,,,45.0,70.0
B,－,53.0,,52.0,86.0,52.0,26.0,70.0,,35.0,61.0
A,A,,46.0,52.0,38.0,18.0,39.0,52.0,63.0,34.0,
B,B,60.0,,,,,41.0,54.0,43.0,28.0,56.0
,S,27.0,,52.0,35.0,42.0,59.0,,65.0,38.0,52.0
C,－,50.0,62.0,45.0,27.0,,37.0,62.0,,65.0,
,S,43.0,44.0,,,32.0,,59.0,67.0,19.0,75.0
,D,51.0,,48.0,49.0,,38.0,30.0,37.0,38.0,
B,－,62.0,67.0,47.0,42.0,47.0,21.0,62.0,47.0,19.0,59.0
B,S,32.0,,31.0,37.0,52.0,,,55.0,45.0,52.0
B,S,71.0,,55.0,39.0,56.0,52.0,51.0,,28.0,79.0
A,－,54.0,49.0,54.0,47.0,41.0,54.0,74.0,56.0,16.0,
B,A,,60.0,,42.0,39.0,61.0,,27.0,45.0,
,A,74.0,59.0,23.0,,48.0,,66.0,,43.0,54.0
B,－,50.0,71.0,42.0,49.0,48.0,44.0,34.0,74.0,26.0,32.0
,S,,62.0,,25.0,48.0,22.0,47.0,20.0,21.0,34.0
B,D,42.0,63.0,56.0,30.0,62.0,32.0,,59.0,65.0,40.0
B,C,34.0,38.0,26.0,45.0,44.0,25.0,51.0,13.0,25.0,51.0
A,C,40.0,,45.0,36.0,13.0,,,28.0,,51.0
B,D,35.0,52.0,56.0,35.0,32.0,42.0,32.0,35.0,59.0,
B,－,38.0,37.0,27.0,26.0,,,44.0,53.0,12.0,60.0
B,S,34.0,61.0,45.0,,29.0,,37.0,61.0,,
B,－,88.0,57.0,42.0,41.0,29.0,60.0,33.0,39.0,,60.0
,B,77.0,55.0,63.0,45.0,54.0,61.0,44.0,59.0,21.0,63.0
,D,83.0,62.0,39.0,47.0,28.0,53.0,58.0,42.0,30.0,79.0
B,－,36.0,54.0,22.0,46.0,34.0,21.0,70.0,29.0,23.0,65.0
A,D,63.0,41.0,52.0,42.0,,62.0,54.0,,42.0,50.0
B,B,59.0,46.0,67.0,43.0,43.0,31.0,72.0,63.0,30.0,
A,A,,,58.0,50.0,25.0,29.0,53.0,,16.0,53.0
A,S,35.0,37.0,54.0,46.0,28.0,70.0,61.0,35.0,27.0,55.0
A,－,54.0,92.0,,55.0,30.0,17.0,62.0,20.0,,65.0
B,S,56.0,35.0,52.0,66.0,23.0,24.0,,19.0,,45.0
B,D,42.0,64.0,,44.0,71.0,14.0,,,,62.0
A,S,,57.0,33.0,43.0,,47.0,,45.0,37.0,33.0
,B,44.0,45.0,36.0,,31.0,,58.0,59.0,27.0,47.0
B,－,59.0,34.0,48.0,50.0,48.0,52.0,47.0,49.0,47.0,54.0
B,－,52.0,36.0,46.0,46.0,,29.0,63.0,62.0,10.0,55.0
C,－,27.0,50.0,28.0,47.0,52.0,49.0,36.0,64.0,19.0,
B,B,,49.0,45.0,49.0,31.0,22.0,55.0,47.0,44.0,56.0
,D,,,51.0,45.0,11.0,48.0,,62.0,49.0,58.0
B,－,40.0,,23.0,65.0,45.0,29.0,61.0,20.0,46.0,57.0
B,D,27.0,57.0,49.0,44.0,70.0,,58.0,44.0,23.0,51.0
C,－,,86.0,47.0,52.0,34.0,57.0,24.0,71.0,58.0,46.0
,D,47.0,93.0,22.0,,44.0,52.0,39.0,13.0,41.0,79.0
B,B,48.0,36.0,47.0,27.0,45.0,31.0,36.0,63.0,44.0,60.0
A,D,52.0,45.0,,34.0,39.0,22.0,,27.0,19.0,70.0
A,C,62.0,,22.0,35.0,61.0,,50.0,53.0,22.0,49.0
,S,40.0,35.0,,26.0,25.0,17.0,45.0,21.0,29.0,54.0
A,C,47.0,71.0,22.0,47.0,28.0,48.0,44.0,61.0,16.0,45.0
B,D,41.0,72.0,48.0,56.0,38.0,,64.0,35.0,,61.0
B,B,39.0,74.0,51.0,50.0,45.0,32.0,44.0,38.0,28.0,55.0
A,－,46.0,59.0,,32.0,,19.0,74.0,74.0,12.0,61.0
,S,42.0,64.0,52.0,42.0,35.0,24.0,54.0,48.0,20.0,59.0
C,D,53.0,61.0,,42.0,,33.0,48.0,36.0,41.0,
A,S,43.0,,73.0,30.0,36.0,50.0,47.0,24.0,36.0,55.0
,A,67.0,,23.0,35.0,30.0,,71.0,14.0,41.0,54.0
B,A,42.0,61.0,31.0,42.0,32.0,31.0,27.0,,18.0,79.0
,C,38.0,,39.0,46.0,71.0,59.0,74.0,,59.0,60.0
,S,37.0,31.0,67.0,48.0,35.0,23.0,71.0,64.0,10.0,60.0
B,－,48.0,42.0,55.0,48.0,26.0,61.0,72.0,34.0,15.0,51.0
B,S,37.0,28.0,,36.0,38.0,,,,36.0,44.0
B,－,40.0,58.0,40.0,47.0,48.0,51.0,,59.0,19.0,62.0
B,－,31.0,25.0,47.0,55.0,,43.0,43.0,62.0,33.0,57.0
A,B,67.0,49.0,53.0,29.0,11.0,,42.0,67.0,42.0,44.0
,－,47.0,,46.0,45.0,33.0,24.0,68.0,28.0,39.0,45.0
B,B,45.0,,39.0,51.0,49.0,14.0,61.0,35.0,56.0,
B,S,77.0,,35.0,43.0,61.0,17.0,,49.0,56.0,24.0
A,A,89.0,81.0,46.0,24.0,50.0,46.0,66.0,15.0,33.0,
A,－,43.0,34.0,,90.0,47.0,15.0,,,,40.0
B,A,66.0,39.0,,,30.0,34.0,59.0,60.0,22.0,60.0
B,B,71.0,47.0,,,,22.0,48.0,,20.0,
B,C,27.0,36.0,56.0,35.0,,,52.0,,18.0,
A,B,47.0,72.0,44.0,45.0,36.0,56.0,33.0,44.0,19.0,60.0
B,C,38.0,47.0,44.0,29.0,,50.0,42.0,53.0,26.0,79.0
B,C,,58.0,58.0,52.0,31.0,27.0,60.0,41.0,,
A,A,36.0,38.0,54.0,50.0,40.0,,38.0,36.0,,56.0
B,D,,,57.0,,53.0,37.0,58.0,26.0,,36.0
C,－,,,25.0,35.0,,32.0,24.0,,,43.0
A,S,63.0,75.0,56.0,46.0,48.0,47.0,72.0,21.0,,43.0
B,C,,62.0,52.0,34.0,53.0,,34.0,32.0,22.0,64.0
B,A,32.0,71.0,57.0,40.0,36.0,62.0,59.0,19.0,50.0,62.0
B,D,35.0,60.0,52.0,,39.0,62.0,,21.0,,62.0
B,－,,46.0,57.0,45.0,33.0,,53.0,32.0,49.0,
A,A,63.0,33.0,,46.0,32.0,34.0,28.0,46.0,46.0,79.0
B,D,,33.0,71.0,50.0,31.0,21.0,54.0,20.0,31.0,53.0
C,C,,39.0,47.0,43.0,33.0,21.0,64.0,40.0,38.0,63.0
A,－,27.0,36.0,55.0,,42.0,,27.0,45.0,,
B,C,35.0,93.0,44.0,28.0,41.0,30.0,32.0,43.0,,60.0
,C,,39.0,45.0,45.0,38.0,27.0,,,43.0,64.0
B,A,,39.0,66.0,,41.0,26.0,20.0,67.0,32.0,
B,－,44.0,43.0,55.0,26.0,,58.0,,28.0,,31.0
A,－,59.0,39.0,51.0,41.0,35.0,44.0,49.0,65.0,31.0,54.0
B,B,42.0,62.0,41.0,,37.0,68.0,74.0,12.0,18.0,49.0
B,－,39.0,54.0,,57.0,43.0,,63.0,15.0,50.0,38.0
B,A,37.0,,44.0,29.0,32.0,,63.0,,54.0,53.0
A,B,,51.0,,,29.0,,60.0,37.0,,55.0
,C,,63.0,,,43.0,16.0,,65.0,36.0,62.0
B,A,63.0,45.0,42.0,55.0,39.0,75.0,41.0,61.0,14.0,
B,D,27.0,52.0,22.0,,27.0,23.0,59.0,54.0,31.0,64.0
C,C,47.0,84.0,,39.0,28.0,46.0,74.0,64.0,58.0,59.0
,S,67.0,65.0,60.0,30.0,38.0,69.0,58.0,51.0,35.0,57.0
,－,84.0,78.0,43.0,36.0,39.0,50.0,43.0,22.0,15.0,65.0
B,B,39.0,83.0,,75.0,44.0,24.0,24.0,24.0,38.0,60.0
,S,40.0,,51.0,27.0,57.0,,22.0,,32.0,60.0
B,B,47.0,28.0,53.0,,,40.0,61.0,28.0,38.0,66.0
A,A,68.0,43.0,61.0,52.0,44.0,45.0,57.0,54.0,29.0,39.0
,B,55.0,47.0,,51.0,39.0,,40.0,,39.0,27.0
A,B,85.0,79.0,31.0,50.0,54.0,21.0,52.0,,24.0,40.0
B,D,42.0,,36.0,41.0,,,38.0,29.0,19.0,46.0
B,B,89.0,60.0,50.0,34.0,11.0,21.0,,18.0,30.0,57.0
B,B,60.0,88.0,54.0,30.0,46.0,25.0,29.0,70.0,30.0,40.0
B,D,48.0,72.0,49.0,,31.0,23.0,54.0,,51.0,52.0
,C,34.0,,28.0,32.0,38.0,16.0,55.0,62.0,29.0,
B,B,27.0,,63.0,27.0,33.0,39.0,53.0,60.0,23.0,61.0
A,B,31.0,,44.0,46.0,,50.0,,50.0,29.0,
,A,68.0,,,37.0,31.0,47.0,73.0,51.0,37.0,64.0
B,S,53.0,39.0,50.0,,,68.0,30.0,18.0,43.0,49.0
B,A,44.0,83.0,59.0,,45.0,67.0,57.0,34.0,11.0,59.0
B,A,,52.0,59.0,34.0,55.0,48.0,41.0,45.0,10.0,61.0
,D,42.0,81.0,56.0,,,37.0,60.0,52.0,11.0,38.0
A,D,48.0,44.0,48.0,41.0,28.0,,35.0,,25.0,63.0
B,A,38.0,55.0,22.0,,54.0,29.0,38.0,,,59.0
,B,66.0,66.0,,52.0,,42.0,19.0,74.0,47.0,48.0
C,S,45.0,45.0,38.0,,46.0,49.0,29.0,,37.0,54.0
A,D,78.0,48.0,50.0,,34.0,20.0,19.0,,27.0,
,B,40.0,63.0,33.0,45.0,39.0,,70.0,34.0,15.0,49.0
A,C,60.0,55.0,22.0,34.0,57.0,17.0,37.0,47.0,40.0,60.0
A,S,50.0,55.0,56.0,31.0,46.0,45.0,23.0,31.0,33.0,78.0
,C,59.0,65.0,,53.0,49.0,78.0,38.0,64.0,,58.0
,－,,32.0,65.0,77.0,59.0,58.0,,55.0,10.0,51.0
A,B,48.0,34.0,49.0,47.0,,49.0,42.0,59.0,62.0,
B,B,,60.0,,,32.0,25.0,,,21.0,42.0
A,D,,90.0,,,50.0,,43.0,28.0,28.0,42.0
B,C,36.0,51.0,54.0,,37.0,27.0,68.0,,48.0,61.0
B,C,58.0,74.0,37.0,50.0,25.0,,39.0,60.0,40.0,
A,C,35.0,39.0,40.0,,35.0,64.0,42.0,52.0,25.0,42.0
B,A,27.0,61.0,52.0,67.0,35.0,51.0,,57.0,50.0,46.0
B,D,47.0,70.0,61.0,,30.0,37.0,56.0,59.0,27.0,
A,S,,40.0,51.0,44.0,49.0,42.0,62.0,46.0,25.0,
B,－,44.0,68.0,34.0,,,24.0,63.0,59.0,42.0,61.0
,A,,85.0,82.0,46.0,38.0,63.0,39.0,,29.0,
,－,27.0,75.0,,50.0,37.0,28.0,,58.0,12.0,45.0
B,S,62.0,58.0,22.0,37.0,43.0,,48.0,,37.0,79.0
B,B,88.0,70.0,49.0,,73.0,34.0,,31.0,40.0,
,－,78.0,72.0,45.0,,71.0,31.0,,60.0,46.0,
A,B,33.0,42.0,43.0,59.0,37.0,45.0,,57.0,,42.0
,B,,78.0,,55.0,53.0,59.0,48.0,24.0,,50.0
B,C,49.0,45.0,30.0,44.0,38.0,46.0,38.0,,40.0,24.0
B,D,63.0,41.0,68.0,52.0,32.0,47.0,36.0,74.0,,55.0
,C,53.0,,,,42.0,59.0,58.0,68.0,58.0,
C,S,38.0,55.0,,36.0,47.0,,66.0,50.0,49.0,61.0
B,S,,77.0,22.0,25.0,28.0,40.0,,20.0,,54.0
,B,46.0,45.0,22.0,48.0,63.0,22.0,56.0,71.0,25.0,
,D,78.0,55.0,47.0,48.0,35.0,,,56.0,,41.0
B,C,27.0,43.0,60.0,27.0,80.0,43.0,58.0,71.0,,
B,D,27.0,,,,30.0,33.0,35.0,36.0,37.0,65.0
B,－,55.0,,55.0,,,17.0,66.0,28.0,11.0,61.0
B,A,40.0,52.0,46.0,33.0,33.0,23.0,66.0,31.0,36.0,79.0
A,D,55.0,,55.0,46.0,,30.0,50.0,39.0,48.0,61.0
B,A,82.0,56.0,59.0,47.0,,14.0,45.0,,24.0,67.0
B,B,36.0,,,32.0,11.0,48.0,66.0,69.0,,52.0
B,D,43.0,43.0,35.0,52.0,30.0,42.0,57.0,,,52.0
B,－,75.0,62.0,,37.0,,42.0,18.0,74.0,25.0,61.0
B,A,,,43.0,26.0,15.0,41.0,50.0,41.0,,59.0
B,S,51.0,52.0,33.0,76.0,21.0,61.0,66.0,,,70.0
A,S,41.0,28.0,42.0,,38.0,59.0,42.0,57.0,14.0,69.0
B,S,28.0,,48.0,48.0,40.0,47.0,69.0,55.0,18.0,56.0
B,D,36.0,,45.0,57.0,,42.0,,39.0,35.0,79.0
B,D,,47.0,48.0,37.0,51.0,,34.0,24.0,35.0,48.0
,－,30.0,83.0,35.0,33.0,30.0,21.0,,54.0,13.0,62.0
B,－,51.0,,45.0,50.0,29.0,33.0,35.0,,,
B,－,67.0,41.0,45.0,51.0,46.0,29.0,56.0,,34.0,63.0
C,D,58.0,,43.0,39.0,29.0,63.0,49.0,57.0,17.0,65.0
,－,46.0,,51.0,45.0,,46.0,69.0,49.0,30.0,53.0
C,D,28.0,67.0,26.0,45.0,,56.0,50.0,,17.0,51.0
A,A,62.0,79.0,48.0,43.0,41.0,42.0,23.0,,22.0,47.0
B,C,39.0,34.0,39.0,44.0,36.0,23.0,18.0,46.0,23.0,67.0
B,D,50.0,,53.0,54.0,49.0,15.0,58.0,,34.0,58.0
A,B,81.0,40.0,43.0,,27.0,61.0,50.0,50.0,37.0,44.0
C,S,47.0,42.0,37.0,27.0,,16.0,51.0,33.0,67.0,46.0
B,A,,,51.0,40.0,31.0,,60.0,32.0,21.0,
,B,52.0,43.0,32.0,55.0,11.0,14.0,56.0,62.0,30.0,30.0
A,S,61.0,51.0,,54.0,45.0,,51.0,24.0,,47.0
,B,77.0,45.0,61.0,45.0,20.0,36.0,61.0,49.0,60.0,
A,－,45.0,48.0,23.0,42.0,69.0,20.0,43.0,73.0,,60.0
A,－,,37.0,46.0,,47.0,43.0,63.0,64.0,42.0,79.0
C,－,89.0,62.0,29.0,53.0,31.0,55.0,67.0,17.0,38.0,39.0
A,C,,,,,24.0,22.0,47.0,,22.0,59.0
,－,53.0,43.0,35.0,31.0,25.0,67.0,26.0,27.0,21.0,
B,－,40.0,31.0,60.0,,44.0,22.0,58.0,28.0,54.0,39.0
,－,56.0,,45.0,41.0,36.0,31.0,59.0,44.0,,54.0
C,－,,46.0,46.0,34.0,37.0,37.0,,30.0,,44.0
B,B,44.0,34.0,,,23.0,58.0,,58.0,45.0,63.0
A,A,33.0,29.0,,52.0,11.0,53.0,47.0,38.0,35.0,
A,S,42.0,29.0,,33.0,36.0,36.0,,55.0,10.0,60.0
A,－,45.0,,,39.0,37.0,,27.0,7.0,30.0,53.0
B,A,43.0,34.0,38.0,61.0,35.0,34.0,54.0,72.0,44.0,
B,D,,81.0,70.0,,41.0,50.0,11.0,65.0,19.0,
C,－,,,41.0,40.0,40.0,59.0,64.0,,33.0,52.0
A,D,,55.0,48.0,,40.0,30.0,74.0,11.0,31.0,45.0
A,C,36.0,64.0,,54.0,25.0,14.0,62.0,20.0,34.0,42.0
A,－,36.0,68.0,36.0,46.0,21.0,44.0,35.0,57.0,31.0,59.0
B,－,53.0,66.0,36.0,48.0,,,44.0,42.0,49.0,51.0
B,A,82.0,75.0,38.0,40.0,,,52.0,22.0,32.0,59.0
C,S,56.0,79.0,55.0,45.0,40.0,50.0,63.0,55.0,37.0,32.0
,C,48.0,48.0,39.0,42.0,,57.0,,66.0,42.0,58.0
B,S,29.0,,33.0,48.0,44.0,23.0,31.0,66.0,50.0,
,S,43.0,77.0,50.0,43.0,22.0,26.0,74.0,27.0,,
,A,32.0,45.0,54.0,44.0,25.0,21.0,,57.0,20.0,69.0
B,S,61.0,47.0,43.0,43.0,46.0,14.0,43.0,47.0,46.0,55.0
A,D,42.0,41.0,52.0,,,32.0,35.0,40.0,,50.0
B,－,85.0,53.0,54.0,,28.0,16.0,21.0,,27.0,61.0
B,S,64.0,67.0,47.0,48.0,24.0,14.0,45.0,13.0,29.0,56.0
B,C,,,56.0,30.0,36.0,39.0,73.0,,37.0,
B,－,36.0,32.0,,53.0,33.0,,31.0,59.0,52.0,
B,S,,67.0,39.0,,44.0,48.0,61.0,37.0,26.0,44.0
B,S,62.0,54.0,48.0,53.0,30.0,50.0,52.0,39.0,28.0,50.0
A,B,53.0,47.0,,42.0,20.0,29.0,44.0,34.0,14.0,
C,B,,36.0,,33.0,17.0,34.0,30.0,53.0,55.0,64.0
A,C,80.0,60.0,22.0,43.0,39.0,29.0,21.0,74.0,50.0,79.0
B,C,54.0,,65.0,49.0,23.0,14.0,73.0,56.0,,71.0
A,B,56.0,58.0,50.0,59.0,,53.0,60.0,29.0,27.0,
A,D,37.0,45.0,,42.0,34.0,62.0,66.0,28.0,67.0,61.0
B,C,47.0,24.0,47.0,49.0,11.0,32.0,67.0,67.0,25.0,53.0
B,D,27.0,,38.0,57.0,44.0,14.0,,31.0,,65.0
B,D,59.0,74.0,,,63.0,26.0,32.0,68.0,35.0,27.0
A,D,35.0,50.0,54.0,53.0,47.0,46.0,57.0,53.0,29.0,76.0
A,S,,31.0,45.0,,,50.0,56.0,26.0,25.0,58.0
,A,73.0,,,48.0,43.0,38.0,45.0,,,46.0
A,S,36.0,76.0,23.0,45.0,38.0,,46.0,,60.0,19.0
A,－,72.0,63.0,37.0,,48.0,,53.0,,17.0,
B,A,43.0,69.0,50.0,46.0,34.0,54.0,47.0,31.0,50.0,42.0
B,S,,,22.0,31.0,,20.0,,12.0,32.0,48.0
A,S,58.0,70.0,54.0,50.0,,26.0,49.0,52.0,10.0,44.0
A,－,60.0,,50.0,57.0,31.0,22.0,53.0,,27.0,50.0
A,S,74.0,63.0,53.0,53.0,44.0,,66.0,27.0,36.0,55.0
B,B,41.0,,42.0,48.0,24.0,,71.0,53.0,,59.0
A,S,48.0,,23.0,26.0,38.0,,13.0,57.0,45.0,
B,D,60.0,60.0,45.0,,44.0,38.0,32.0,19.0,22.0,
A,S,51.0,62.0,,,39.0,68.0,49.0,,34.0,55.0
,D,40.0,62.0,42.0,46.0,28.0,27.0,61.0,46.0,,65.0
B,－,60.0,84.0,47.0,,57.0,59.0,32.0,70.0,,62.0
,S,55.0,,43.0,43.0,34.0,,,34.0,46.0,
